[ 1.6012716   2.9529047  -0.64715081]
[ 1.58485061  2.97673374 -0.70911016]
[ 1.56507451  3.00156154 -0.74940492]
[ 1.53555266  3.03807017 -0.79371869]
[ 1.49622252  3.08210978 -0.80997554]
[ 1.45263104  3.12870851 -0.81428913]
[ 1.39181156  3.19422616 -0.81705691]
[ 1.34631288  3.24170613 -0.81276102]
[ 1.29262953  3.29834388 -0.81200287]
[ 1.21585926  3.37548928 -0.79515337]
[ 1.14952395  3.43992911 -0.7736204 ]
[ 1.07917437  3.50415217 -0.73745476]
[ 1.00856272  3.56672641 -0.68845326]
[ 0.93648695  3.62895507 -0.65307936]
[ 0.88135695  3.67141404 -0.64986807]
[ 0.83556317  3.70621382 -0.64981104]
[ 0.77172974  3.75471164 -0.64971416]
[ 0.73223776  3.7847097  -0.64954967]
[ 3.90073135e-04  5.57716626e-05 -3.05332203e-04]
[ 3.53360737e-04  5.40372850e-05 -2.77795886e-04]
[ 2.86350369e-04  5.36226194e-05 -2.59093242e-04]
[ 2.65030624e-04  5.34361070e-05 -2.56625290e-04]
[ 2.14277153e-04  5.28853879e-05 -2.51526225e-04]
[ 1.87867648e-04  5.25903834e-05 -2.48952955e-04]
[ 1.54437851e-04  5.21796121e-05 -2.45442832e-04]
[ 1.27348629e-04  5.17707478e-05 -2.42273023e-04]
[ 1.11680376e-04  5.15277515e-05 -2.40262977e-04]
[ 9.66644501e-05  5.29196850e-05 -2.42446779e-04]
[ 8.61378760e-05  5.29130323e-05 -2.45710261e-04]
[ 7.66656816e-05  5.29165941e-05 -2.45939284e-04]
[ 7.02014482e-05  5.29193824e-05 -2.45898404e-04]
[ 6.40087118e-05  5.29222373e-05 -2.45857214e-04]
[ 5.81585459e-05  5.29251406e-05 -2.45814398e-04]
[ 5.31419742e-05  5.29278399e-05 -2.45771487e-04]
[ 4.98587107e-05  5.29298468e-05 -2.45737572e-04]
[ 4.69264598e-05  5.29317683e-05 -2.45702606e-04]
[ 4.35839984e-05  5.29341916e-05 -2.45656053e-04]
[ 4.14975451e-05  5.29359061e-05 -2.45621442e-04]
[ 3.95430497e-05  5.29377221e-05 -2.45583170e-04]
[ 3.78727785e-05  5.29394688e-05 -2.45544547e-04]
[ 3.65897366e-05  5.29409869e-05 -2.45509947e-04]
[ 3.52213054e-05  5.29427939e-05 -2.45467004e-04]
[ 3.42867868e-05  5.29442268e-05 -2.45432659e-04]
[ 3.32834684e-05  5.29459445e-05 -2.45389738e-04]
[ 3.25257479e-05  5.29474679e-05 -2.45351401e-04]
[ 3.18602212e-05  5.29489694e-05 -2.45312256e-04]
[ 3.13107688e-05  5.29504419e-05 -2.45274194e-04]
[ 3.08388922e-05  5.29518958e-05 -2.45235597e-04]
[ 3.03996084e-05  5.29534757e-05 -2.45192992e-04]
[ 3.00900535e-05  5.29547563e-05 -2.45158134e-04]
[ 2.97949946e-05  5.29561671e-05 -2.45119575e-04]
[ 2.95140702e-05  5.29577088e-05 -2.45076610e-04]
[ 2.93275124e-05  5.29589589e-05 -2.45042822e-04]
[ 2.91073133e-05  5.29606199e-05 -2.44995423e-04]
[ 2.89712058e-05  5.29618580e-05 -2.44961292e-04]
[ 2.88522216e-05  5.29630923e-05 -2.44926414e-04]
[ 2.87419230e-05  5.29644580e-05 -2.44888411e-04]
[ 2.86361073e-05  5.29659573e-05 -2.44845272e-04]
[ 2.85654202e-05  5.29671795e-05 -2.44811289e-04]
[ 2.84965580e-05  5.29685357e-05 -2.44772537e-04]
[ 2.84374079e-05  5.29698895e-05 -2.44733723e-04]
[ 2.83872270e-05  5.29712410e-05 -2.44695521e-04]
[ 2.83456508e-05  5.29725904e-05 -2.44657200e-04]
[ 2.83103619e-05  5.29739384e-05 -2.44618702e-04]
[ 2.82804207e-05  5.29752852e-05 -2.44580195e-04]
[ 2.82525868e-05  5.29767656e-05 -2.44537642e-04]
[ 2.82337892e-05  5.29779756e-05 -2.44503455e-04]
[ 2.82134600e-05  5.29794546e-05 -2.44460130e-04]
[ 2.81982162e-05  5.29807980e-05 -2.44421820e-04]
[ 2.81856911e-05  5.29821404e-05 -2.44383883e-04]
[ 2.81771834e-05  5.29832142e-05 -2.44353283e-04]
[ 2.81679807e-05  5.29845564e-05 -2.44314593e-04]
[ 2.81588847e-05  5.29861666e-05 -2.44268029e-04]
[ 2.81534452e-05  5.29873735e-05 -2.44234022e-04]
[ 2.81488998e-05  5.29885805e-05 -2.44199520e-04]
[ 2.81438778e-05  5.29901901e-05 -2.44152690e-04]
[ 2.81409781e-05  5.29913965e-05 -2.44118587e-04]
[ 2.81383685e-05  5.29927372e-05 -2.44080202e-04]
[ 2.81363277e-05  5.29940778e-05 -2.44041735e-04]
[ 2.81346494e-05  5.29955525e-05 -2.43999283e-04]
[ 2.81336679e-05  5.29967588e-05 -2.43964916e-04]
[ 2.81329120e-05  5.29980992e-05 -2.43926490e-04]
[ 2.81324333e-05  5.29995737e-05 -2.43884134e-04]
[ 2.81322753e-05  5.30009141e-05 -2.43845689e-04]
[ 2.81323233e-05  5.30021203e-05 -2.43811306e-04]
[ 2.81325509e-05  5.30035373e-05 -2.43772703e-04]
[ 2.81330434e-05  5.30051641e-05 -2.43729119e-04]
[-0.00017765 -0.00102832  0.01261094]
[-0.0010929  -0.00447795  0.04672847]
[-0.00292637 -0.01135056  0.11110977]
[-0.00449951 -0.02076099  0.20053821]
[-0.00253543 -0.03070922  0.31245421]
[ 0.00153845 -0.0398929   0.41877054]
[ 0.00706312 -0.04940787  0.52520563]
[ 0.01324276 -0.05776163  0.62108956]
[ 0.02152344 -0.06761369  0.73738399]
[ 0.02996543 -0.07583174  0.83910451]
[ 0.03969357 -0.08300177  0.93687745]
[ 0.05096435 -0.08891573  1.03445802]
[ 0.06114761 -0.09208331  1.1145388 ]
[ 0.0797199  -0.09370227  1.25089361]
[ 0.09304736 -0.09244116  1.34640567]
[ 0.10629264 -0.08936862  1.44194474]
[ 0.12204385 -0.0834638   1.55882201]
[ 0.13409845 -0.07618254  1.65325913]
[ 0.14548408 -0.06411349  1.75168683]
[ 0.14884689 -0.05149072  1.7966162 ]
[ 0.14648967 -0.03408834  1.8098703 ]
[ 0.1406312  -0.00805579  1.79784266]
[0.13395255 0.02253707 1.77362001]
[0.12687824 0.054552   1.75494403]
[0.11977668 0.08570963 1.74142256]
[0.11465158 0.11176689 1.73575334]
[0.10977323 0.13913999 1.73283853]
[0.10457547 0.16820615 1.72894543]
[0.10017793 0.19161505 1.72303246]
[0.09558723 0.21485064 1.71444604]
[0.08874199 0.24576865 1.6931981 ]
[0.08258383 0.26889222 1.66525841]
[0.07461853 0.29370421 1.61824787]
[0.06634128 0.31425424 1.55800361]
[0.05569994 0.33752343 1.46693797]
[0.05012803 0.3605679  1.40010434]
[0.04962527 0.38861053 1.35402745]
[0.0531009  0.41921287 1.32457324]
[0.05956253 0.45815122 1.29117706]
[0.06936777 0.50387612 1.26085206]
[0.08260205 0.55400124 1.23487354]
[0.09591022 0.59988415 1.21000606]
[0.11466665 0.65505993 1.19015848]
[0.14020235 0.71969262 1.18603176]
[0.16556169 0.78227169 1.185529  ]
[0.19637478 0.85811009 1.18519704]
[0.22882851 0.93847163 1.19122143]
[0.25868345 1.01176181 1.19935922]
[0.29883149 1.11110531 1.21843898]
[0.33370916 1.1983252  1.24890523]
[0.36780028 1.29546829 1.2726057 ]
[0.3894761  1.3664063  1.26707598]
[0.41319357 1.44711103 1.24647375]
[0.44301494 1.54618326 1.20698934]
[0.47100936 1.63547653 1.14371857]
[0.50021419 1.72027531 1.04946299]
[0.53776528 1.80461693 0.94433983]
[0.57824623 1.87964929 0.84728412]
[0.63616106 1.97500018 0.75011899]
[0.68470429 2.03558183 0.73362025]
[0.74267547 2.09305144 0.76571994]
[0.8007307  2.14831082 0.8107082 ]
[0.86754168 2.21227286 0.87730762]
[0.92179938 2.26608438 0.95396203]
[0.98429868 2.33833128 1.06289914]
[1.03277136 2.40689041 1.16319207]
[1.07856365 2.4798602  1.2689096 ]
[1.12314225 2.56204385 1.374751  ]
[1.16117362 2.65632305 1.44912809]
[1.18471565 2.73693848 1.46428225]
[1.20162386 2.83088559 1.42683348]
[1.21318339 2.91314639 1.37194201]
[1.22604639 3.00680027 1.29047775]
[1.24038404 3.09428011 1.20559893]
[1.26538927 3.18661051 1.11069279]
[1.30344747 3.28312224 1.01755495]
[1.34951091 3.3800489  0.90948407]
[1.39750478 3.46628422 0.80758007]
[1.45765706 3.55837296 0.71711389]
[1.53175897 3.64876773 0.67168352]
[1.60794287 3.73256867 0.64945082]
